support,itemsets
0.08163265306122448,"POSTAGE,MINI PAINT SET VINTAGE"
0.05102040816326531,"PACK OF 6 SKULL PAPER CUPS,PACK OF 6 SKULL PAPER PLATES"
0.061224489795918366,"POSTAGE,PACK OF 6 SKULL PAPER CUPS"
0.05357142857142857,"POSTAGE,PACK OF 6 SKULL PAPER PLATES"
0.08418367346938775,"POSTAGE,PACK OF 72 RETROSPOT CAKE CASES"
0.07142857142857142,"POSTAGE,PAPER BUNTING RETROSPOT"
0.05102040816326531,"POSTAGE,PARTY BUNTING"
0.08928571428571429,"PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SPACEBOY"
0.058673469387755105,"PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN CIRCUS PARADE"
0.10204081632653061,"PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN WOODLAND ANIMALS"
0.14795918367346939,"POSTAGE,PLASTERS IN TIN CIRCUS PARADE"
0.05102040816326531,"RED RETROSPOT MINI CASES,PLASTERS IN TIN CIRCUS PARADE"
0.05102040816326531,"PLASTERS IN TIN CIRCUS PARADE,RED TOADSTOOL LED NIGHT LIGHT"
0.05357142857142857,"ROUND SNACK BOXES SET OF4 WOODLAND,PLASTERS IN TIN CIRCUS PARADE"
0.10459183673469388,"PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS"
0.11479591836734694,"POSTAGE,PLASTERS IN TIN SPACEBOY"
0.06377551020408163,"POSTAGE,PLASTERS IN TIN STRONGMAN"
0.1377551020408163,"POSTAGE,PLASTERS IN TIN WOODLAND ANIMALS"
0.05357142857142857,"RED TOADSTOOL LED NIGHT LIGHT,PLASTERS IN TIN WOODLAND ANIMALS"
0.16581632653061223,"POSTAGE,RABBIT NIGHT LIGHT"
0.05102040816326531,"POSTAGE,RED  HARMONICA IN BOX"
0.08163265306122448,"POSTAGE,RED RETROSPOT CHARLOTTE BAG"
0.11479591836734694,"POSTAGE,RED RETROSPOT MINI CASES"
0.06887755102040816,"POSTAGE,RED RETROSPOT PICNIC BAG"
0.15816326530612246,"POSTAGE,RED TOADSTOOL LED NIGHT LIGHT"
0.10459183673469388,"POSTAGE,REGENCY CAKESTAND 3 TIER"
0.058673469387755105,"POSTAGE,RETROSPOT PARTY BAG + STICKER SET"
0.058673469387755105,"POSTAGE,RETROSPOT TEA SET CERAMIC 11 PC"
0.09438775510204081,"POSTAGE,ROUND SNACK BOXES SET OF 4 FRUITS"
0.14795918367346939,"POSTAGE,ROUND SNACK BOXES SET OF4 WOODLAND"
0.06377551020408163,"POSTAGE,SET OF 2 TEA TOWELS APPLE AND PEARS"
0.06377551020408163,"POSTAGE,SET OF 9 BLACK SKULL BALLOONS"
0.05612244897959184,"POSTAGE,SET OF 9 HEART SHAPED BALLOONS"
0.06377551020408163,"POSTAGE,SET/10 RED POLKADOT PARTY CANDLES"
0.1096938775510204,"POSTAGE,SET/20 RED RETROSPOT PAPER NAPKINS"
0.11734693877551021,"POSTAGE,SET/6 RED SPOTTY PAPER CUPS"
0.10714285714285714,"POSTAGE,SET/6 RED SPOTTY PAPER PLATES"
0.05612244897959184,"POSTAGE,SPACEBOY BIRTHDAY CARD"
0.09693877551020408,"POSTAGE,SPACEBOY LUNCH BOX"
0.11479591836734694,"POSTAGE,STRAWBERRY LUNCH BOX WITH CUTLERY"
0.08928571428571429,"POSTAGE,TEA PARTY BIRTHDAY CARD"
0.0663265306122449,"POSTAGE,WOODLAND CHARLOTTE BAG"
0.05357142857142857,"RED TOADSTOOL LED NIGHT LIGHT,RABBIT NIGHT LIGHT"
0.05102040816326531,"ROUND SNACK BOXES SET OF4 WOODLAND,RED RETROSPOT MINI CASES"
0.06377551020408163,"ROUND SNACK BOXES SET OF4 WOODLAND,ROUND SNACK BOXES SET OF 4 FRUITS"
0.10204081632653061,"SET/6 RED SPOTTY PAPER CUPS,SET/20 RED RETROSPOT PAPER NAPKINS"
0.10204081632653061,"SET/20 RED RETROSPOT PAPER NAPKINS,SET/6 RED SPOTTY PAPER PLATES"
0.12244897959183673,"SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES"
0.06377551020408163,"ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN"
0.061224489795918366,"POSTAGE,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK"
0.07142857142857142,"POSTAGE,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED"
0.0663265306122449,"POSTAGE,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK"
0.05357142857142857,"POSTAGE,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX"
0.061224489795918366,"POSTAGE,LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT"
0.05102040816326531,"POSTAGE,LUNCH BAG APPLE DESIGN,LUNCH BAG SPACEBOY DESIGN"
0.05357142857142857,"POSTAGE,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG RED RETROSPOT"
0.05102040816326531,"POSTAGE,LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT"
0.05357142857142857,"POSTAGE,LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN"
0.058673469387755105,"POSTAGE,STRAWBERRY LUNCH BOX WITH CUTLERY,LUNCH BOX WITH CUTLERY RETROSPOT"
0.06887755102040816,"PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS"
0.07397959183673469,"POSTAGE,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SPACEBOY"
0.08418367346938775,"POSTAGE,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN WOODLAND ANIMALS"
0.05102040816326531,"POSTAGE,PLASTERS IN TIN CIRCUS PARADE,RED TOADSTOOL LED NIGHT LIGHT"
0.08418367346938775,"POSTAGE,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS"
0.05357142857142857,"POSTAGE,RED TOADSTOOL LED NIGHT LIGHT,PLASTERS IN TIN WOODLAND ANIMALS"
0.058673469387755105,"POSTAGE,ROUND SNACK BOXES SET OF4 WOODLAND,ROUND SNACK BOXES SET OF 4 FRUITS"
0.08418367346938775,"POSTAGE,SET/6 RED SPOTTY PAPER CUPS,SET/20 RED RETROSPOT PAPER NAPKINS"
0.08418367346938775,"POSTAGE,SET/20 RED RETROSPOT PAPER NAPKINS,SET/6 RED SPOTTY PAPER PLATES"
0.10204081632653061,"POSTAGE,SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES"
0.09948979591836735,"SET/6 RED SPOTTY PAPER CUPS,SET/20 RED RETROSPOT PAPER NAPKINS,SET/6 RED SPOTTY PAPER PLATES"
0.05612244897959184,"POSTAGE,ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN"
0.05357142857142857,"POSTAGE,PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS"
0.08163265306122448,"POSTAGE,SET/6 RED SPOTTY PAPER CUPS,SET/20 RED RETROSPOT PAPER NAPKINS,SET/6 RED SPOTTY PAPER PLATES"
